date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:49:03	966/966	---M--	200	added ('OK')	image/png	etag:%225a102efc-56a%22	https://getbootstrapadmin.com/remark/base/assets/images/logo.png	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/assets/images/logo.png	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:05	10350/10350	---M--	200	added ('OK')	image/jpeg	etag:%225a102efe-286e%22	https://getbootstrapadmin.com/remark/global/photos/view-2-150x100.jpg	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/photos/view-2-150x100.jpg	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:06	19105/19105	---M--	200	added ('OK')	image/jpeg	etag:%225a102efe-4aa1%22	https://getbootstrapadmin.com/remark/global/photos/view-1-150x100.jpg	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/photos/view-1-150x100.jpg	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:07	14462/14462	---M--	200	added ('OK')	image/jpeg	etag:%225a102efe-387e%22	https://getbootstrapadmin.com/remark/global/photos/view-3-150x100.jpg	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/photos/view-3-150x100.jpg	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:07	9491/9491	---M--	200	added ('OK')	image/jpeg	etag:%225a102efe-2513%22	https://getbootstrapadmin.com/remark/global/photos/view-4-150x100.jpg	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/photos/view-4-150x100.jpg	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:08	11042/11042	---M--	200	added ('OK')	image/jpeg	etag:%225a102efe-2b22%22	https://getbootstrapadmin.com/remark/global/photos/view-6-150x100.jpg	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/photos/view-6-150x100.jpg	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:08	16817/16817	---M--	200	added ('OK')	image/jpeg	etag:%225a102efe-41b1%22	https://getbootstrapadmin.com/remark/global/photos/view-5-150x100.jpg	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/photos/view-5-150x100.jpg	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:08	13552/13552	---M--	200	added ('OK')	image/jpeg	etag:%225a102efe-34f0%22	https://getbootstrapadmin.com/remark/global/portraits/5.jpg	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/portraits/5.jpg	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:08	15592/15592	---M--	200	added ('OK')	image/jpeg	etag:%225a102efe-3ce8%22	https://getbootstrapadmin.com/remark/global/portraits/2.jpg	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/portraits/2.jpg	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:09	13050/13050	---M--	200	added ('OK')	image/jpeg	etag:%225a102efe-32fa%22	https://getbootstrapadmin.com/remark/global/portraits/3.jpg	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/portraits/3.jpg	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:09	13832/13832	---M--	200	added ('OK')	image/jpeg	etag:%225a102efe-3608%22	https://getbootstrapadmin.com/remark/global/portraits/4.jpg	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/portraits/4.jpg	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:09	138948/138948	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202017%2013:00:44%20GMT	https://getbootstrapadmin.com/remark/base/tables/basic.html	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/tables/basic.html	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:10	98669/98669	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202017%2013:00:44%20GMT	https://getbootstrapadmin.com/remark/base/tables/bootstrap.html	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/tables/bootstrap.html	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:11	93223/93223	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202017%2013:00:44%20GMT	https://getbootstrapadmin.com/remark/base/tables/floatthead.html	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/tables/floatthead.html	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:12	100198/100198	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202017%2013:00:44%20GMT	https://getbootstrapadmin.com/remark/base/tables/responsive.html	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/tables/responsive.html	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:12	78811/78811	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202017%2013:00:44%20GMT	https://getbootstrapadmin.com/remark/base/tables/editable.html	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/tables/editable.html	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:13	84010/84010	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202017%2013:00:44%20GMT	https://getbootstrapadmin.com/remark/base/tables/jsgrid.html	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/tables/jsgrid.html	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:13	369221/369221	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202017%2013:00:44%20GMT	https://getbootstrapadmin.com/remark/base/tables/footable.html	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/tables/footable.html	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:14	90595/90595	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202017%2013:00:44%20GMT	https://getbootstrapadmin.com/remark/base/tables/jqtabledit.html	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/tables/jqtabledit.html	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:14	86301/86301	---MCZ	200	added ('OK')	text/html	date:Sat,%2018%20Nov%202017%2013:00:44%20GMT	https://getbootstrapadmin.com/remark/base/tables/table-dragger.html	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/base/tables/table-dragger.html	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:15	9940/9940	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-3768%22	https://getbootstrapadmin.com/remark/global/vendor/babel-external-helpers/babel-external-helpers.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/babel-external-helpers/babel-external-helpers599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:15	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102eff-15283%22	https://getbootstrapadmin.com/remark/global/vendor/jquery/jquery.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/jquery/jquery.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:15	19188/19188	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102eff-4af4%22	https://getbootstrapadmin.com/remark/global/vendor/popper-js/umd/popper.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/popper-js/umd/popper.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:16	50564/50564	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-c584%22	https://getbootstrapadmin.com/remark/global/vendor/bootstrap/bootstrap.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/bootstrap/bootstrap.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:16	5730/5730	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-1662%22	https://getbootstrapadmin.com/remark/global/vendor/animsition/animsition.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/animsition/animsition.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:16	3970/3970	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102eff-204b%22	https://getbootstrapadmin.com/remark/global/vendor/mousewheel/jquery.mousewheel.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/mousewheel/jquery.mousewheel599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
09:49:17	16511/16511	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a102efe-407f%22	https://getbootstrapadmin.com/remark/global/vendor/asscrollbar/jquery-asScrollbar.min.js?v4.0.2	C:/My%20Web%20Sites/pro3/getbootstrapadmin.com/remark/global/vendor/asscrollbar/jquery-asScrollbar.min599c.js	(from https://getbootstrapadmin.com/remark/base/tables/datatable.html)
